GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13037,"Calhoun, GA",92,Private services-providing industries 3/,76527,72352,69991,68789,66283,62097,61484,68617,70229,64578,62790,56317
13039,"Camden, GA",1,All industry total,2114764,2024013,1914662,1823328,1766786,1698725,1681778,1636059,1616941,1584664,1590560,1565684
13039,"Camden, GA",2,  Private industries,1177722,1129756,1050294,981474,961357,906225,867166,829273,817667,820523,833021,838327
13039,"Camden, GA",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7010
13039,"Camden, GA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,71
13039,"Camden, GA",10,    Utilities,4726,5734,2453,2353,2567,10953,10658,11729,10975,11542,11101,10158
13039,"Camden, GA",11,    Construction,(D),41413,38202,(D),(D),27668,37524,30564,31418,41251,48497,55912
13039,"Camden, GA",12,    Manufacturing,217039,199850,179320,159713,176518,139327,120996,100809,105174,90715,80862,88781
13039,"Camden, GA",13,      Durable goods manufacturing,183972,170635,152374,133922,152861,117546,(D),(D),(D),(D),(D),(D)
13039,"Camden, GA",25,      Nondurable goods manufacturing,33067,29215,26946,25790,23657,21781,(D),(D),(D),(D),(D),(D)
13039,"Camden, GA",34,    Wholesale trade,67468,67019,68562,60999,51412,50420,49907,52477,56090,58440,61255,58232
13039,"Camden, GA",35,    Retail trade,109175,104272,101591,101546,104286,87966,84987,81712,81350,84704,91442,91965
13039,"Camden, GA",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13039,"Camden, GA",45,    Information,16873,17282,17340,17079,15893,16902,16243,17114,17700,18727,18134,18523
13039,"Camden, GA",50,"    Finance, insurance, real estate, rental, and leasing",407300,389052,359303,336574,319715,314583,297839,287801,280928,284518,270257,265402
13039,"Camden, GA",51,      Finance and insurance,107051,105894,99065,89375,90188,87127,79961,78787,76861,80120,79148,78334
13039,"Camden, GA",56,      Real estate and rental and leasing,300250,283158,260238,247199,229527,227456,217878,209014,204068,204398,191109,187068
13039,"Camden, GA",59,    Professional and business services,112360,117603,105468,95546,98388,94193,90291,94239,87234,86102,109049,(D)
13039,"Camden, GA",60,"      Professional, scientific, and technical services",48723,45692,44070,43567,49138,50212,49112,48482,41211,48554,56621,(D)
13039,"Camden, GA",64,      Management of companies and enterprises,15115,26097,15978,13541,12408,9568,7797,4754,5041,1598,6405,(D)
13039,"Camden, GA",65,      Administrative and support and waste management and remediation services,48522,45814,45420,38438,36842,34413,33382,41003,40982,35951,46023,43670
13039,"Camden, GA",68,"    Educational services, health care, and social assistance",74781,75008,70461,69356,66981,67310,64951,64124,58361,56754,52846,49714
13039,"Camden, GA",69,      Educational services,2906,2760,2443,3016,3114,5337,6612,5872,1676,1469,1273,992
13039,"Camden, GA",70,      Health care and social assistance,71875,72248,68018,66340,63866,61973,58339,58252,56685,55285,51573,48722
13039,"Camden, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",65492,61692,58927,58207,53768,53244,51477,49079,48938,49534,51340,54053
13039,"Camden, GA",76,"      Arts, entertainment, and recreation",3693,3224,2896,3929,4571,5031,3963,4126,4777,4188,4602,5013
13039,"Camden, GA",79,      Accommodation and food services,61799,58468,56031,54279,49198,48213,47515,44954,44161,45346,46737,49040
13039,"Camden, GA",82,    Other services (except government and government enterprises),33308,31693,29705,29099,27707,26507,26483,24994,25917,25298,25981,27639
13039,"Camden, GA",83,Government and government enterprises,937042,894258,864368,841854,805429,792500,814612,806786,799275,764141,757540,727358
13039,"Camden, GA",,Addenda:,,,,,,,,,,,,
13039,"Camden, GA",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7081
13039,"Camden, GA",88,Trade,176643,171291,170153,162545,155699,138387,134894,134188,137440,143144,152697,150197
13039,"Camden, GA",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13039,"Camden, GA",90,Manufacturing and information,233912,217132,196660,176791,192411,156229,137239,117923,122874,109441,98996,107304
13039,"Camden, GA",91,Private goods-producing industries 2/,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),151774
13039,"Camden, GA",92,Private services-providing industries 3/,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),686553
13043,"Candler, GA",1,All industry total,278749,263226,249435,243529,242991,237761,239206,233300,232144,220637,220326,231024
13043,"Candler, GA",2,  Private industries,230203,216295,202749,196837,193958,190691,194842,190901,190500,181106,183532,194756
13043,"Candler, GA",3,"    Agriculture, forestry, fishing and hunting",2367,2244,2448,2575,2599,2724,10227,17494,17987,21721,23614,26131
13043,"Candler, GA",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,0
13043,"Candler, GA",10,    Utilities,11774,11575,6935,6675,5896,5729,5188,5826,5402,5549,5182,5009
13043,"Candler, GA",11,    Construction,13695,13339,12641,12053,10421,13021,13489,10207,12651,10824,12175,13777
13043,"Candler, GA",12,    Manufacturing,10426,9462,9969,10693,13774,14663,14566,13918,13255,12811,14660,14176
13043,"Candler, GA",13,      Durable goods manufacturing,3462,3265,3295,3057,2232,2593,2226,2153,(D),(D),(D),(D)
13043,"Candler, GA",25,      Nondurable goods manufacturing,6963,6197,6674,7636,11542,12070,12340,11765,(D),(D),(D),(D)
13043,"Candler, GA",34,    Wholesale trade,17614,16081,15810,15375,16339,15909,15639,13909,11248,8918,6935,5884
13043,"Candler, GA",35,    Retail trade,25358,24517,23639,22985,22033,21919,21113,20750,20336,19779,19371,18689
13043,"Candler, GA",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13043,"Candler, GA",45,    Information,17798,17765,17658,17942,19763,15094,14043,15111,17555,17147,13210,13338
13043,"Candler, GA",50,"    Finance, insurance, real estate, rental, and leasing",65043,62412,59777,57070,55972,54596,53119,54015,54643,52299,50947,54266
13043,"Candler, GA",51,      Finance and insurance,(D),(D),(D),(D),(D),(D),(D),19935,19911,(D),18590,17308
13043,"Candler, GA",56,      Real estate and rental and leasing,(D),(D),(D),(D),(D),(D),(D),34080,34732,(D),32357,36958
13043,"Candler, GA",59,    Professional and business services,21395,19813,17993,16877,16543,17049,16655,12446,11363,6159,10743,10087
13043,"Candler, GA",60,"      Professional, scientific, and technical services",8670,7921,6896,5715,5185,4884,4807,4109,3713,3524,3522,3058
13043,"Candler, GA",64,      Management of companies and enterprises,10298,9020,8398,8245,7848,7311,7142,3708,3892,465,5438,5328
13043,"Candler, GA",65,      Administrative and support and waste management and remediation services,2427,2871,2700,2916,3511,4855,4706,4630,3757,2170,1783,1701
13043,"Candler, GA",68,"    Educational services, health care, and social assistance",17090,(D),(D),(D),(D),(D),(D),7257,8281,8200,8433,11474
13043,"Candler, GA",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),127,152,81,39,23
13043,"Candler, GA",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),7130,8129,8119,8393,11451
13043,"Candler, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",(D),15614,14200,13203,12375,11590,11017,(D),(D),(D),(D),(D)
13043,"Candler, GA",76,"      Arts, entertainment, and recreation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13043,"Candler, GA",79,      Accommodation and food services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
13043,"Candler, GA",82,    Other services (except government and government enterprises),7444,7001,6963,6895,6555,6200,6313,6410,6535,6352,6188,6276
13043,"Candler, GA",83,Government and government enterprises,48545,46931,46686,46692,49033,47071,44365,42400,41644,39531,36794,36268
13043,"Candler, GA",,Addenda:,,,,,,,,,,,,
13043,"Candler, GA",87,Natural resources and mining,2367,2244,2448,2575,2599,2724,10227,17494,17987,21721,23614,26131
13043,"Candler, GA",88,Trade,42972,40598,39449,38360,38372,37828,36752,34658,31584,28698,26306,24573
